,movieId,tag,TagWeight
0,1658,sports,0.2640264858440428
1,1720,Eddie Murphy,0.5826002850704052
2,2207,boxing,0.5328146430040253
3,585,must show,0.0514029046706453
4,737,must show,0.11215260530443942
5,952,must show,0.09770495975164971
6,953,must show,0.08421822424447911
7,1184,must show,0.050751578551416
8,1285,twist,0.031876922928228725
9,1355,twist,0.03745620084373619
10,1683,overrated,0.06512214821156508
11,1972,violent,0.028654464794070276
12,2102,violent,0.13583967045524795
13,562,Monty Python,0.6880283606639206
14,1006,Harrison Ford,0.5522866142744259
15,2199,piss your pants funny,0.17188605157053705
16,2199,Stephen Chow,0.6266177620437783
17,2215,Firefly,0.34441453317083576
18,2371,adventure,0.2668227203849929
19,2371,aliens,0.23406143666120163
20,2371,archaeology,0.3348877558981536
21,2371,indiana jones,0.4705033942954544
22,2371,plot point:solving riddles/puzzles,0.15012383457840775
23,2434,funny,0.08304549153369772
24,2434,mad scientist,0.38652548134532577
25,2434,minions,0.5388157244036016
26,2460,action,0.07426024531637415
27,2460,Bechdel Test:Fail,0.08031824340275762
28,2460,campy,0.11453314815920627
29,2460,comic book,0.24573431269150747
30,2460,superhero,0.26674315394088444
31,2488,based on a TV show,0.0880194805665864
32,2488,PG-13,0.09888773255322109
33,2488,space,0.3149927035230454
34,2488,Star Trek,0.4340181181447573
35,337,Disney,0.4994261098579778
36,337,Disney animated feature,0.19882348632411573
37,337,fairy tale,0.279425100857445
38,337,heartwarming,0.2604196779990856
39,422,Al Pacino,0.3595609110151092
40,422,based on a book,0.06510587636543032
41,422,classic,0.08773200900390124
42,422,Mafia,0.4576229776555935
43,422,robert de niro,0.19510098014164415
44,600,crime,0.11828074281909594
45,600,dark comedy,0.1402339694163597
46,600,gore,0.03537982496240628
47,600,Martin Scorsese,0.4341473190551508
48,600,Robert De Niro,0.42455789954887535
49,600,Samuel L. Jackson,0.20917995751243904
50,625,zombie,0.3330235004822194
51,851,Coen Brothers,0.411362487957456
52,851,marijuana,0.09370733934403931
53,903,mathematics,0.6828698668398357
54,903,notable soundtrack,0.26608033349808397
55,1128,dark comedy,0.6491888142147525
56,1128,dark humor,0.30117811597102384
57,1888,Black Comedy,0.49896069786353264
58,1888,Catherine Keener,0.13684343597037874
59,1888,Danny DeVito,0.22696725460785835
60,1888,Edward Norton,0.5243110848143951
61,1888,Robin Williams,0.5872633819824362
62,2419,dark comedy,0.1655372810833215
63,2419,gore,0.27842421984038535
64,2419,IMDB Top 250,0.1680660324515044
65,2419,violence,0.07645146253376804
66,2419,zombies,0.5903163262093332
67,2215,movie mets projections: browncoats will fall in love,0.08013840990458704
68,2215,non-sci-fi types will flame it. What else is new.,0.08013840990458704
69,176,dark comedy,0.23930529432981582
70,176,good dialogue,0.053991317242116546
71,219,Elton John,0.10611826805002389
72,1355,dark comedy,0.2735004539327333
73,1355,Edward Norton,0.4518093301170619
74,1355,social commentary,0.20696219202283406
75,1054,sick,0.09410072870895302
76,8,007 movies are bad.,0.21617763232029963
77,29,bruce willis,0.07064993350350708
78,29,ending,0.02871127467947504
79,29,jeffrey,0.044476253646415234
80,29,music,0.019851642187313973
81,29,scenario,0.044476253646415234
82,40,actually the ending was obvius,0.041808648913328285
83,40,generally like the movie because of actors and crimes,0.041808648913328285
84,40,the morgan freeman leaving non-sense,0.041808648913328285
85,91,Actor's  and amateurism,0.1202464237494681
86,91,Jim Carrey,0.45488055340615735
87,176,conversations between vincent and jules,0.01978225550365737
88,176,Jules,0.01978225550365737
89,176,the part where bruce willis' story told.,0.01978225550365737
90,176,vincent,0.01978225550365737
91,237,everything is bad about this movie.,0.1809851445338999
92,302,liam neeson,0.056941171610312896
93,302,ralph fiennes' acting,0.056941171610312896
94,302,too slow,0.045225144409219306
95,313,atmosphere,0.042911347979252036
96,313,ending line,0.04992308486898175
97,313,slowness,0.04992308486898175
98,313,soundtrack,0.024828766229618195
99,313,the main character questionable,0.04992308486898175
100,313,unneseccary scenes,0.04992308486898175
101,323,christopher walken and dennis hopper scene,0.2005825579160159
102,323,ending.,0.2005825579160159
103,323,gary oldman's acting.,0.2005825579160159
104,323,genrally i dont like it,0.2005825579160159
105,343,acting,0.026253231102127378
106,343,last scene,0.04536998033610603
107,343,murders,0.04536998033610603
108,760,al pacino,0.12893447089796606
109,760,johnny depp,0.09810209969078106
110,760,not sure about ending it was so sudden,0.14147085165095824
111,760,reality on ending,0.14147085165095824
112,760,some unnecessary family scenes,0.14147085165095824
113,760,wise guys,0.14147085165095824
114,901,enough with the  same ' lethal weapon' movies over and over again.,0.3535005952574843
115,1410,boring,0.06083848929479161
116,1901,everything else,0.4654484171678661
117,1901,Nudity (Topless),0.17910080917894058
118,1901,sex scenes,0.40007581758818805
119,2042,i get angry sad and confused about ending but it was good.,0.10255216692078821
120,2173,this movie shouldn't have been filmed.,0.30010977672723427
121,2301,ending was good,0.09805939026708974
122,2301,generally like the movie,0.09805939026708974
123,2301,mark buffalo,0.09805939026708974
124,2301,not too bad but rdjr ' s character was got little under my expectations.,0.09805939026708974
125,2405,brad pitt's texas accent was just ridiculous,0.033530041049918226
126,2405,the film is all about raging jew revenge.,0.033530041049918226
127,2405,waltz's acting was ok.,0.033530041049918226
128,2478,1 v 1 with some other spy,0.0765769073155605
129,2478,boring,0.03199497856527008
