,movieId,userId,rating
0,30,0,2.5
1,833,0,3.0
2,859,0,3.0
3,906,0,2.0
4,931,0,4.0
5,1017,0,2.0
6,1041,0,2.0
7,1047,0,2.0
8,1083,0,3.5
9,1087,0,2.0
10,1111,0,2.5
11,1140,0,1.0
12,1515,0,4.0
13,1665,0,4.0
14,1708,0,3.0
15,1743,0,2.0
16,1815,0,2.0
17,1962,0,2.5
18,2380,0,1.0
19,2925,0,3.0
20,9,1,4.0
21,16,1,5.0
22,37,1,5.0
23,45,1,4.0
24,48,1,4.0
25,49,1,3.0
26,58,1,3.0
27,100,1,4.0
28,123,1,3.0
29,129,1,5.0
30,132,1,4.0
31,140,1,3.0
32,144,1,3.0
33,147,1,3.0
34,163,1,3.0
35,164,1,3.0
36,184,1,3.0
37,195,1,5.0
38,196,1,1.0
39,198,1,3.0
40,207,1,3.0
41,220,1,3.0
42,225,1,4.0
43,233,1,4.0
44,237,1,5.0
45,238,1,5.0
46,244,1,3.0
47,245,1,4.0
48,262,1,3.0
49,266,1,4.0
50,268,1,3.0
51,280,1,4.0
52,283,1,2.0
53,285,1,1.0
54,304,1,3.0
55,314,1,4.0
56,315,1,4.0
57,321,1,3.0
58,322,1,3.0
59,328,1,3.0
60,331,1,3.0
61,334,1,2.0
62,335,1,3.0
63,336,1,3.0
64,341,1,3.0
65,346,1,3.0
66,357,1,2.0
67,361,1,3.0
68,403,1,4.0
69,406,1,3.0
70,416,1,4.0
71,422,1,2.0
72,427,1,4.0
73,432,1,3.0
74,444,1,3.0
75,447,1,4.0
76,454,1,4.0
77,455,1,4.0
78,461,1,4.0
79,472,1,4.0
80,481,1,4.0
81,483,1,3.0
82,493,1,3.0
83,494,1,5.0
84,495,1,3.0
85,518,1,5.0
86,519,1,3.0
87,520,1,3.0
88,521,1,3.0
89,522,1,5.0
90,523,1,5.0
91,524,1,5.0
92,525,1,3.0
93,543,1,3.0
94,567,1,4.0
95,607,1,4.0
96,56,2,3.0
97,100,2,4.0
98,219,2,3.5
99,239,2,3.0
100,266,2,4.5
101,284,2,5.0
102,320,2,2.5
103,321,2,5.0
104,341,2,2.5
105,472,2,3.0
106,521,2,3.0
107,524,2,3.0
108,525,2,3.0
109,527,2,2.0
110,617,2,3.5
111,642,2,4.0
112,699,2,3.0
113,954,2,5.0
114,966,2,3.0
115,990,2,4.0
116,1025,2,3.0
117,1118,2,4.0
118,1253,2,3.5
119,1359,2,4.5
120,1455,2,4.0
121,1590,2,4.0
122,1834,2,4.0
123,2010,2,3.0
124,2156,2,3.0
125,2162,2,3.5
126,2173,2,3.0
127,2212,2,3.5
128,2273,2,4.0
129,2288,2,4.0
130,2374,2,5.0
131,2599,2,3.0
132,2804,2,4.0
133,3157,2,5.0
134,4081,2,3.0
135,4255,2,3.5
